player1,player2,playerid1,playerid2,deckcode1,deckcode2,characters1,characters2,score1,score2,week_game,isDrop,isBye,isTie,isIncluded,isMirror,server,matchNum,week,game
尔里西里|Akira,Batewomen,8,175,EeCR43EOGDCx5CIOF0Ch9HoPCEAw9ZcPCWBx9jMTE7ExO1cYFaFwirQQDbGQC9kRDTAA,AFBwxScMEZCAyYMNCDAw3YoPCECg9I4PCGDg9pcQCVFxBjMQGWExO5MTC7HwC78RDDAA,Chevreuse\\Consecrated Scorpion\\Lyney,Shenhe\\Xiao\\Yelan,1,0,1\\1,,,,TRUE,FALSE,AS,1,1,1
Paroy,Nukleer,118,178,AdHSvhgWF4HBxUoNGEFS2y0PExHC4kkPFSGC44IQGUES9bgQHNJyXLkXDIJhErcSDBEB,G0AQ2yEOFBDx4rcOGyBx9LgPG0GATMkUDMGQitEYDaERrjcaE+FxaYYWGJFhxZQcGVAA,Furina\\Layla\\Sangonomiya Kokomi,Neuvillette\\Sigewinne\\Yae Miko,1,0,1\\1,,,,TRUE,FALSE,AS,2,1,1
フウライ,FLUR,211,237,FZDB0ZgNERBR1WoVCaAR9DAPE1AB9kgPFGGBW4EWGIEQCsQQDLFAD8YQDPFgackWDJAA,AkAR5BkYGJGxiY4PGBDg8bkPCyCQ8sEPHDAh88IPDEBw9MkPDGCQ/NsbDqEwPuMTDuAA,Kuki Shinobu\\La Signora\\Xianyun,Chevreuse\\Lyney\\Yae Miko,1,0,1\\1,,,,TRUE,FALSE,AS,3,1,1
『Hɨkɑʀʊ』,JatNad,248,64,FnHAOCETA4AR8TMPEyAx8lcPFUBw9LQPC8BA/LYUC8FhTMIbHKEgutIQDaEhCzcQE7AA,APBQ4CEOFAAQ75cOFfBx8VcPGRAx85MPC0BQ9LUPC2DQ9r0bDaFAutQQHLEwDN8QDcAA,Furina\\Nahida\\Yae Miko,Cryo Hypostasis\\Kamisato Ayaka\\Yae Miko,0,1,1\\1,,,,TRUE,FALSE,AS,4,1,1
Ianradtan,CatMoose,59,255,AEBAyQsMFJAB0UQNFBBA2oYPCCBg9pcQCVFxBTAQE4EBCDMTE7EwO78YC6HwisQQDLAA,AxFQWiEPESCQ8pUPFECB9FcPFVBx9oIbGKEgusQQDKFAC8YQDLFgackWDJGQzNEcDcAA,Chongyun\\Mona\\Sayu,Lyney\\Rhodeia of Loch\\Yae Miko,0,1,1\\1,,,,TRUE,FALSE,AS,5,1,1
Kaizen,AIR,69,6,ETCR48cOAUCR5CIPHECR9ckPCWBx9lcYFaFxip4bHKERusEcDEGQxMkQDbFwzN4cDsAA,A5BhyUANABBB0UQNCKBg9IYPCUBx9jAPE2EBCDMQFYFxO1cTC7HwTL8YDKFAisQQDLAA,Dehya\\Kinich\\Lyney,Chongyun\\Mirror Maiden\\Sayu,0,1,1\\1,,,,TRUE,FALSE,AS,6,1,1
やまゆう,kritan,202,75,EZCA2RUNFrCw9FEPBUAQ9ZcPCVBx9jETE7ERO1cZGWExDJMQDMFgDcYQDNGgEMoRDQAA,EUGRNV0TEVCh2SINEpAh22AOFnAA54MOCIAw6JcPCUBx9DMQEwExAJMTGbEwC7QRCzAA,Wriothesley\\Yelan\\Yoimiya,Faruzan\\Lynette\\Lyney,1,0,1\\1,,,,TRUE,FALSE,AS,7,1,1
furu,Ark,256,13,AJCx2RcVAaBA9FAPBUEAAoAQCSFxBTMQE1ExCFcTGLEhO4IQDJFgC8YQDMGQDMkQDeAA,AXHBN0EYF2EAlJcZCUFwWZ0VCZHRWjAPE0AA9LMPGGFRA4UQDDFATMQUDcEQitEYE6AA,Amber\\Layla\\Mona,All-Devouring Narwhal\\Cryo Hypostasis\\Keqing,0,1,1\\1,,,,TRUE,FALSE,AS,8,1,1
Eon!!!,Inzhagi,42,222,AVAwxDkMEUBgyU8MBJHxWioPEkCg9JcPE1AB9jAPFWFxO4IYGKEgisEZDGERCzUQE7AA,EZBh0ccNERCR8ioPEiCg9JcPE0EBCDAQE4ExOzMTFbFxisEYHKEQusQbDKFAy8kcDLAA,Azhdaha\\Bennett\\Electro Hypostasis,Azhdaha\\Kinich\\Lyney,1,0,1\\1,,,,TRUE,FALSE,AS,9,1,1
uัnloิunาง,Ninja,293,114,EUCBxBYMHJBhycgNEmCh1ioTEoHgOJcPE0AB9DAPE2ExCFcQFYFwO78TDLEQisEYDKAA,A5BhyUANABBB0UQNCKBg9IYPCUBx9jAPE2EBCDMQFYFxO1cTC7HwTL8YDKFAisQQDLAA,Arlecchino\\Azhdaha\\Yelan,Chongyun\\Mirror Maiden\\Sayu,0,1,1\\1,,,,TRUE,FALSE,AS,10,1,1
