player1,player2,playerid1,playerid2,deckcode1,deckcode2,characters1,characters2,score1,score2,week_game,isDrop,isBye,isTie,isIncluded,isMirror,server,matchNum,week,game
Trion,BYE,159,,FUDhyUAMAJBB0UQNFhAQ2oYPCEBg9pcPE2AB+jAQE4ExCDMTFbFwO78YC6HwisQQDLAA,,Abyss Herald: Wicked Torrents\\Chongyun\\Sayu,,1,,1\\1,,TRUE,,,FALSE,AS,1,1,1
Ianradtan,Coffinuc,59,25,AGGhNkAMAEBBxEQMFJBAyYYNCKBg7pcOCeBx9jAPE2EBBTMQE1EwCL0TC7HwO78QE7AA,E2HxNqUMFUDxxGIMFpAhyagOCTDA45wOCUDQ5J0PFUBx9IIPGWDh9p4YGqHAir0aE+AA,Chongyun\\Sayu\\Xingqiu,Abyss Lector: Violet Lightning\\Emperor of Fire and Iron\\Thoma,0,1,1\\1,,,,TRUE,FALSE,AS,2,1,1
kritan,猩猩緋,75,236,FWDByZgMFZDh0WoNFhAQ1ZEVE6AB9DAPFECB9UgPGGERaIEQC7HwD8QQDPFAacYWDJAA,F5AR3hkOGDCx4yIOEkAh5HoPCUBw9JcPClBA9qQPE2ExO1cTC7FAirQYDKGgDsoRDTAA,Abyss Herald: Wicked Torrents\\Kuki Shinobu\\Xianyun,Chevreuse\\Consecrated Scorpion\\Lyney,1,0,1\\1,,,,TRUE,FALSE,AS,3,1,1
ersihfrans,696首,45,221,E2HwNh0MFUDwxFkMFpAh42IOCTDA5JwOCUDQ9J0PGEAh9oIPGWHgirQYC6FgC70RExAA,F1ExhXIYFlDR1HsNF0DB3nwPGiCh9DMPE0Ax9lcQFTFxBKwQGkHAir0YC6HRCzUWE5AA,Cyno\\Emperor of Fire and Iron\\Thoma,Consecrated Flying Serpent\\Guardian of Apep's Oasis\\Xinyan,1,0,1\\1,,,,TRUE,FALSE,AS,4,1,1
やまゆう,OwOscyy,202,117,EaCA2RUNFpCw21EPBSAQ9JcPCUBx9TEPE2ERAjMTFbFxO5MQGcEwDMYQDNFgEMoRDAAA,FaDBykENGdCB8WoPFhCh8psPCSAQ9JcPCUBx9VcPGVAx9pMPC2HRAjUQE8FQDMMQDOAA,Wriothesley\\Yelan\\Yoimiya,Cryo Hypostasis\\Kuki Shinobu\\Xianyun,0,1,1\\1,,,,TRUE,FALSE,AS,5,1,1
smol1,AIR,150,6,GMDBx1wMAnDh0ZENGREQlJwZCUHAWp0OCZDR6Z4OGaDg9LMPC0EwTLYUC8FgrrwaC+AA,ApFS2hkOF7Gx81IQBkER9ZgQClFy9jIQFGISBFgUGrIyPJQRDcJhDccRDdKhEcsSDgEB,Arataki Itto\\Kuki Shinobu\\Navia,Wriothesley\\Yelan\\Yoimiya,0,1,1\\1,,,,TRUE,FALSE,AS,6,1,1
TDNmegane,Minty,155,99,FWDByZgMFZDh0WoNFhAQ1ZEVE6AB9DAPFECB9UgPGGERaIEQC7HwD8QQDPFAacYWDJAA,EdFxWF4MFUDxxGEMFpAhyWINCeDA9JwPCUDQ9p0VGLEhioIYGaHhC54RCxGQabkWC5AA,Abyss Herald: Wicked Torrents\\Kuki Shinobu\\Xianyun,Abyss Herald: Wicked Torrents\\Emperor of Fire and Iron\\Layla,0,1,1\\1,,,,TRUE,FALSE,AS,7,1,1
weomi,FLUR,168,237,AZBR2RgNFrCw8lEPBSAQ9JcPCUBx9TEPE2ERO1cTGbExDJMQDMFgDcYQDNGgEMoRDQAA,EXCg6CUOEYGRiSIYEpAw8ZAPCRBx8kgPFDCB9FgPDECQ9skPGWFAANkQDQHQC+cRDjAA,Wriothesley\\Yelan\\Yoimiya,Jean\\Lynette\\Lyney,1,0,1\\1,,,,TRUE,FALSE,AS,8,1,1
もちつき,sousou,187,151,AFBw0ycNEZCA2YMNCNCg9IoPCEDg9Y4PCWBw9pcQFVFwBr8QC2HxOzYYE6FgisUQDLAA,ERDR0RYNAWDQ1lkTEoCh9CoPCUBx9jAQE4EBCDMTFbFxO1cYDKFAisQZDGGQC8kaDfAA,Shenhe\\Xiao\\Yelan,Azhdaha\\Cyno\\Eremite Scorching Loremaster,1,0,1\\1,,,,TRUE,FALSE,AS,9,1,1
Kaizen,Monty,69,64,ADBw2ScNEZCA3YMPCECg9IoPCGDg9o4QCVFxBTEQE2ExBjMTC7HwO78YDKFQisURDRAA,FfDgxAQMFEAByUQMFpAQ2oYPCEBg9JcPE2EBCDAQE4ExOzMTFbFxip4YGaHgC78QC7AA,Shenhe\\Xiao\\Yelan,Abyss Herald: Wicked Torrents\\Chongyun\\Sayu,0,1,1\\1,,,,TRUE,FALSE,AS,10,1,1
ぺとる,Nukleer,120,178,GJES34wPEjGS5CMPGEGh5ZgQCiFy9TQQFEEy91gQG2KyPKwUFLJRi8sZDaKhDNoRDuEB,G2JBNxcXGXLCaJAOG5Fy2qgOCrFx6pgPC5FB86UQFiFy9VgQDEFB9rUUFLJSPDYaFGEB,Chevreuse\\Consecrated Scorpion\\Lyney,Chiori\\Klee\\Navia,0,1,1\\1,,,,TRUE,FALSE,AS,11,1,1
やまゆう,BYE,202,,EaCA2RUNFpCw21EPBSAQ9JcPCUBx9TEPE2ERAjMTFbFxO5MQGcEwDMYQDNFgEMoRDAAA,,Wriothesley\\Yelan\\Yoimiya,,1,,1\\2,,TRUE,,,FALSE,AS,12,1,2
TDNmegane,ぺとる,155,120,FWDByZgMFZDh0WoNFhAQ1ZEVE6AB9DAPFECB9UgPGGERaIEQC7HwD8QQDPFAacYWDJAA,GJES34wPEjGS5CMPGEGh5ZgQCiFy9TQQFEEy91gQG2KyPKwUFLJRi8sZDaKhDNoRDuEB,Abyss Herald: Wicked Torrents\\Kuki Shinobu\\Xianyun,Chevreuse\\Consecrated Scorpion\\Lyney,1,0,1\\2,,,,TRUE,FALSE,AS,13,1,2
Minty,ersihfrans,99,45,EdFxWF4MFUDxxGEMFpAhyWINCeDA9JwPCUDQ9p0VGLEhioIYGaHhC54RCxGQabkWC5AA,E2HwNh0MFUDwxFkMFpAh42IOCTDA5JwOCUDQ9J0PGEAh9oIPGWHgirQYC6FgC70RExAA,Abyss Herald: Wicked Torrents\\Emperor of Fire and Iron\\Layla,Cyno\\Emperor of Fire and Iron\\Thoma,1,0,1\\2,,,,TRUE,FALSE,AS,14,1,2
