player1,player2,playerid1,playerid2,deckcode1,deckcode2,characters1,characters2,score1,score2,week_game,isDrop,isBye,isTie,isIncluded,isMirror,server,matchNum,week,game
Kimyerim,Nukleer,107,178,ASAg8hgPAVDg9VQPBWBA9loPCdFwApcQDCGQB8kQDXFgC9YQDbHgDuMQDuEwEOQRDwAA,AxCAxwgMA3CQ3kQPBDBA83QPB1BA9XUPB9BQ/bMPC/Aw/7kQC3GQC7wQC7HAD8EQDPAA,Beidou\\Xiangling\\Yanfei,Abyss Lector: Fathomless Flames\\Electro Hypostasis\\Qiqi,0,1,1\\1,,,,TRUE,FALSE,AS,1,1,1
Sherry,Dottier,581,582,AXGRyisNAZHR32cPCBGh4nsPCiHR454QDGEx+rQQDNGR/7wRDKKxDL0RDLLBEMgRDfEB,APBA4CAOAABw8YYPCBDg844PCUBw9JcPC1DQ9b0PDGCQ+MkQDKHQC80QDbHQDt8QDeAA,Barbara\\Ningguang\\Sangonomiya Kokomi,Chongyun\\Raiden Shogun\\Shenhe,0,1,1\\1,,,,TRUE,FALSE,AS,2,1,1
washed,glasse de fontaine,134,109,AxAQ8jUPASCg9JcPCUBw9cIPDFAg9sYPDJBg/cgPDNGACskQDbEQC9EQDeHQDvERDxAA,ADBw3iwNAPAQ34MOCAAw4IoPCBCg8Y4PCEDg9J0PCdHQBr8QC2HwC8kQDLGQDtMQDeAA,Fischl\\Nahida\\Rhodeia of Loch,Ganyu\\Shenhe\\Zhongli,0,1,1\\1,,,,TRUE,FALSE,AS,3,1,1
Magik!,@Meow-Meow,583,360,BNFR8iIQBBFx9XQQCkFR9pYQDFEx97QQDIGB/rkQDNLBC70RDaJxDMgRDbKREMoRDvEB,AkAg7hIPASCA804PBDDg9F4PCUBw9ZcPDGAQ+cEPDNGQAskQDSHQCuMQDrEwC+QQDuAA,Fatui Pyro Agent\\Rhodeia of Loch\\Yae Miko,Lisa\\Xiangling\\Yanfei,1,0,1\\1,,,,TRUE,FALSE,AS,4,1,1
JatNad,diarin,64,32,AGBg3QsPAhCQ8ZcPCSBw9ZgPCWCA+L0QCyHQAsIQDLEgC8kQDMGQDMoQDOGgDtYRDTAA,AiEB8QwQBAER8k0QBRHB9ZgQCkFx9r4QDWGR98oQDsEh/dMRDrLhDOIRD+IRD+MSDzEB,Eula\\Mona\\Wanderer,Mona\\Nahida\\Nilou,0,1,1\\1,,,,TRUE,FALSE,AS,5,1,1
FLUR,Xeiiryuu,237,231,ABCw8hAPAyAw80wPBDDA9MEPDEAQ9sIPDHCQ+ckPDcDg/OEPDtAQ/eIQDrEgDvERDzAA,AWDQ2QoNAZCg21YOBVBg5ZcPCVBw9bMQCyEwAsgQDDGAA8kQDFGQDMoQDMGgENYRDQAA,Baizhu\\Mona\\Nilou,Cyno\\Fischl\\Xingqiu,0,1,1\\1,,,,TRUE,FALSE,AS,6,1,1
Nandha,Zakura,111,584,AzBQ9DwPAVAA9b0PC2DQ9skPDMCQ/N4PDtAQ/eEPDvAg/+IQD7EQC/EPDzAg9PIND5AA,BHFRyiQNBJFx3XIQCEEx9ZYQClFR97QQDIEx/rkQDNKBC70RDKLBDMIRDbIREMgRDfEB,Jadeplume Terrorshroom\\Nilou\\Rhodeia of Loch,Dori\\Fatui Pyro Agent\\Rhodeia of Loch,0,1,1\\1,,,,TRUE,FALSE,AS,7,1,1
Ark,Ryssa,13,133,AhAA8QcPACBA8pcPCTBw9b0PDFCQ9skPDIDQ/dkPDdGQCt0QDaHwC98QDrEADuAQD+AA,AABA8QcPAhAA844PCTBw9JcPC0DQ9b0PDFCQ9skPDdCQ/dkQDaHQC98QDbHwDuAQDuAA,Chongyun\\Raiden Shogun\\Shenhe,Chongyun\\Raiden Shogun\\Shenhe,0,1,1\\1,,,,TRUE,TRUE,AS,8,1,1
Rynana,Zuoshen,508,585,AdBg8TEPARDA8lIPCSBw9ZcPC1DQ9r0PDIAg/cIPDNGAAsgQDKGQC8kQDbGQDtkQDfAA,ApDg6RkOAqCg6ogPCECA9J0PCWDQ/cIQDCEgAsYQDKFgC8kQDLGQDdEQDeEQD90QDvAA,Keqing\\Klee\\Nahida,Arataki Itto\\Dehya\\Ningguang,0,0,1\\1,,,TRUE,TRUE,FALSE,AS,9,1,1
ZarBonミ★,Akane,586,501,AGBA1hcNAJCg2UANCbBw8pcPCyCg9b0PDGGAAsgQDCGQA8kQDDGgDMoQDMHwEM8RDQAA,ACCw8hAPAyAA9kwPBGDA/KQPCsBA/b0PDNEQCsEQDKEwC8MQDbHgDuEQDuEQD+IQDvAA,Chongyun\\Hu Tao\\Xingqiu,Mona\\Nilou\\Tighnari,0,1,1\\1,,,,TRUE,FALSE,AS,10,1,1
Rocky,Sloth,412,222,AJCg2RcNAbCA44oOCDCg5JcPCSBw9L0PC0DQ9ckPDGGQAsoQDLGgC9YQDcFgENcRDQAA,AYAwyScMApAA2U8NBJDw22MPBiAw844PCGDg9pcQCTFwA7MQC1EwBcEQDLEQDMgQDMAA,Hu Tao\\Xingqiu\\Yanfei,Bennett\\Raiden Shogun\\Xiao,0,1,1\\1,,,,TRUE,FALSE,AS,11,1,1
Buer,Gabeh,444,587,AxBQ4SEOAyBg4l0PBxAg8bMPCyAw9bwPC1DA9sEPDJAQ/ccQDKFwC8kQDLGQDt4QDvAA,ARAA4TMOACCw4kwPBBDA8aMPCsAw/MEPDNAQ/cMQDIEwCMkQDLGQC84QDPHgD94RDkAA,Mirror Maiden\\Rhodeia of Loch\\Yae Miko,Baizhu\\Mona\\Nilou,1,0,1\\1,,,,TRUE,FALSE,AS,12,1,1
AC,Dusclops,361,273,AyAg9BEPAUCw9W4PBmDg9oUPCNBQ/aoPCuGwBawQC1EgB8kQDHGQC9wQD+EQD/ERDzAA,AlEx5zoPAmHB8lAQChEB9ZEQCkFx9pgQDVER98IQDWKRCMoRDXKhDMsRDrLRD+YRD+EB,Diluc\\Razor\\Yaoyao,Bennett\\Electro Hypostasis\\Keqing,1,0,1\\1,,,,TRUE,FALSE,AS,13,1,1
Kitchen,.,588,589,ARBg8QsPACDA9YMPCNEwApcQCSFwA8kQDDGQB9QQDXFAC9sQDrEQDOEQDsEgEOIRDwAA,BBGR8jYQAiHx81wQBkGx9nYQClFR98IQDdERAMoQDfKRC9oRDrKxDOYRD+JRD+cREPEB,Klee\\Mona\\Tartaglia,Electro Hypostasis\\Kujou Sara\\Rhodeia of Loch,0,1,1\\1,,,,TRUE,FALSE,AS,14,1,1
Hehetmon,duck,590,34,ArAw6S4OApCw6l8PCECA9IgPCVBw9p0PCdHQArkQCyGQC70QC7HQDsEQDOEQD8kQDfAA,AhEB8jIQASHh800QBVHB9soQDWGR99oQDpGR/dwQD8ER/uIQD9IhC+MREKIBDPERELEB,Arataki Itto\\Dori\\Noelle,Kamisato Ayato\\Nahida\\Nilou,1,0,1\\1,,,,TRUE,FALSE,AS,15,1,1
Seikatsu101,Hina,137,591,ARAA8TwPAzBQ80wPBFDA9ZUPCWBQ9r0PC5DQ+ckPDPCQ/94QDrEQC+EQDuEgD+IQD/AA,AWDg2QQNAZCw20AOBFAA5ZcOCWBw9MIPDEEgA8YQDDFgC8oQDLGgDNEQDcEQENYRDQAA,Jadeplume Terrorshroom\\Nilou\\Rhodeia of Loch,Beidou\\Chongyun\\Razor,1,0,1\\1,,,,TRUE,FALSE,AS,16,1,1
勇斗,こじ,592,184,AZDA3RMOATBg408OBEDw5JAPCRBw9JcPC0Aw9bMPC1DA9rwPDNEQC8EQDLFwDscRDDAA,AeAw4xUOAzCQ5E8PBBDw8ZcPCUBw9LMPC1Aw9bwPC2DA9r0QDCEQC8EQDLFwDscRDRAA,Bennett\\Keqing\\Klee,Bennett\\Electro Hypostasis\\Yoimiya,0,1,1\\1,,,,TRUE,FALSE,AS,17,1,1
Shinon,もちつき,140,187,ABBA8QcPAjAA9JcPCUBw9b0PDFCQ9skPDNDQ/c0QDSGQCt0QDaHwC98QDrEADuAQD+AA,ApHR3zAPAlGh5loQBgGR8YQQCREx8o8QCUHh9ZgQClFx96URC2JBB8ARDLLxDdoRDsEB,Chongyun\\Raiden Shogun\\Shenhe,Collei\\Cyno\\Fischl,1,0,1\\1,,,,TRUE,FALSE,AS,18,1,1
FLUR,Kimyerim,237,107,ABCw8hAPAyAw80wPBDDA9MEPDEAQ9sIPDHCQ+ckPDcDg/OEPDtAQ/eIQDrEgDvERDzAA,ASAg8hgPAVDg9VQPBWBA9loPCdFwApcQDCGQB8kQDXFgC9YQDbHgDuMQDuEwEOQRDwAA,Baizhu\\Mona\\Nilou,Beidou\\Xiangling\\Yanfei,0,1,1\\2,,,,TRUE,FALSE,AS,19,1,2
Shinon,Rynana,140,508,ABBA8QcPAjAA9JcPCUBw9b0PDFCQ9skPDNDQ/c0QDSGQCt0QDaHwC98QDrEADuAQD+AA,AdBg8TEPARDA8lIPCSBw9ZcPC1DQ9r0PDIAg/cIPDNGAAsgQDKGQC8kQDbGQDtkQDfAA,Chongyun\\Raiden Shogun\\Shenhe,Keqing\\Klee\\Nahida,0,1,1\\2,,,,TRUE,FALSE,AS,20,1,2
JatNad,ZarBonミ★,64,586,AGBg3QsPAhCQ8ZcPCSBw9ZgPCWCA+L0QCyHQAsIQDLEgC8kQDMGQDMoQDOGgDtYRDTAA,AGBA1hcNAJCg2UANCbBw8pcPCyCg9b0PDGGAAsgQDCGQA8kQDDGgDMoQDMHwEM8RDQAA,Eula\\Mona\\Wanderer,Chongyun\\Hu Tao\\Xingqiu,1,0,1\\2,,,,TRUE,FALSE,AS,21,1,2
duck,Rocky,34,412,AhEB8jIQASHh800QBVHB9soQDWGR99oQDpGR/dwQD8ER/uIQD9IhC+MREKIBDPERELEB,AJCg2RcNAbCA44oOCDCg5JcPCSBw9L0PC0DQ9ckPDGGQAsoQDLGgC9YQDcFgENcRDQAA,Kamisato Ayato\\Nahida\\Nilou,Hu Tao\\Xingqiu\\Yanfei,1,0,1\\2,,,,TRUE,FALSE,AS,22,1,2
Magik!,Seikatsu101,583,137,BNFR8iIQBBFx9XQQCkFR9pYQDFEx97QQDIGB/rkQDNLBC70RDaJxDMgRDbKREMoRDvEB,ARAA8TwPAzBQ80wPBFDA9ZUPCWBQ9r0PC5DQ+ckPDPCQ/94QDrEQC+EQDuEgD+IQD/AA,Fatui Pyro Agent\\Rhodeia of Loch\\Yae Miko,Jadeplume Terrorshroom\\Nilou\\Rhodeia of Loch,1,0,1\\2,,,,TRUE,FALSE,AS,23,1,2
Sloth,Buer,222,444,AYAwyScMApAA2U8NBJDw22MPBiAw844PCGDg9pcQCTFwA7MQC1EwBcEQDLEQDMgQDMAA,AxBQ4SEOAyBg4l0PBxAg8bMPCyAw9bwPC1DA9sEPDJAQ/ccQDKFwC8kQDLGQDt4QDvAA,Bennett\\Raiden Shogun\\Xiao,Mirror Maiden\\Rhodeia of Loch\\Yae Miko,1,0,1\\2,,,,TRUE,FALSE,AS,24,1,2
