player1,player2,playerid1,playerid2,deckcode1,deckcode2,characters1,characters2,score1,score2,week_game,isDrop,isBye,isTie,isIncluded,isMirror,server,matchNum,week,game
MrBeast ! ! ! ! ! ! !,shinichi,109,376,AlCRyWsMAJCw0XwNBxHROCwTCYFwWZcVCZCA3ZgPE0AB9DAPC2HwCMQQDIFATMUQDMAA,AECwxSkMAFBgyXwMB5DQ0YYNCRBw3ZcPCVCA9pgPE5EBAjAQE4FhCDYTDLEgC8QQDLAA,Mona\\Wanderer\\Wriothesley,Eula\\Mona\\Wanderer,0,1,1\\1,,,,TRUE,FALSE,AS,1,1,1
duck,Magik!,34,89,FVDB1WwNA5AR2XUNF+BQ8XwPCRBw9ZcPE4EBCDAQE4ExOzMTE7FhaDYWDIGQC8kQDbAA,FNAh0W4NAhDB6XcOF5Bw7owOCODh8i4PEiDg9JcPCUFwA8UQDDFQDMkQDMGQEM0RDAAA,Furina\\Kuki Shinobu\\Nahida,Millennial Pearl Seahorse\\Yun Jin\\Zhongli,0,1,1\\1,,,,TRUE,FALSE,AS,2,1,1
Minty,G5,99,52,ERBQ2QsNEZHgWZcVCpFBiDAPE0AB9DMPE2ExCIQQDIFAO8QTDLGQTMkWDIGgaNERDRAA,FJAhzW4MAtDA0YwNCBDh6S4OEpDg7pcOCeBw9L0PC0HQA8IQDDEgC8UQDLFQEMkRDAAA,La Signora\\Mona\\Thunder Manifestation,Millennial Pearl Seahorse\\Yun Jin\\Zhongli,1,0,1\\1,,,,TRUE,FALSE,AS,3,1,1
Ark,Paroy,13,118,F9ABnW8KFhDBoXUKFzBRo3gYF0GAhIUMCCBQwoYYCHFhhy0YEoHQAZEQFBFxA0cQCTAA,AUARxEAMAFCwxU0MFJBAyYUNCBBh0S0NCZBw3pgPE0AB9DAPE1ExCDMQE4FhOzYQDLAA,All-Devouring Narwhal\\Furina\\Kaveh,Diluc\\Mona\\Sayu,1,0,1\\1,,,,TRUE,FALSE,AS,4,1,1
Ianradtan,Burst,59,58,AWFBxQwNFUECykUNFZJBWocWCZFh25gQCkFy9TEQFGICBjQRFFIxCb4RDILSPDcRFLEB,EdCBzW4NAhDB0XcOF5Bw6YwOCODh7i4PCUBx9DEQEyExBjMQDGFQC8UQDLGQEMkRDAAA,Chongyun\\Mona\\Sayu,Yelan\\Yun Jin\\Zhongli,1,0,1\\1,,,,TRUE,FALSE,AS,5,1,1
UDon,ryzac,378,134,FpDA2RoYEXGQh4MNCLAw8pcPCSBx9DMPE0Aw9b0PC1Dw9r8PE5Bh+TYQGFFRO4UQDbAA,FlDgySYMApDAz2IMBvAh6XcOF5Bw7ooOCOHhAy4QEjHgBZcQCVFwDMEQDMEQEMURDAAA,Fischl\\Furina\\Lyney,Venti\\Yun Jin\\Zhongli,1,0,1\\1,,,,TRUE,FALSE,AS,6,1,1
2Fast,塩むすび,2,146,AaBRz24MFvHBZ3UWBXAR23cPCSBw8pcPE1EROzETE7ExCTMQC5HQDL0QDMGQEMkRDAAA,FvCw3wcOAgAA4JcPCRBx8TMPE0Aw9L0PC1DQ9s0QDCHRAmcQFqFwCtkQDbGQC90QDcAA,Furina\\Yoimiya\\Yun Jin,Raiden Shogun\\Shenhe\\Wriothesley,1,0,1\\1,,,,TRUE,FALSE,AS,7,1,1
時代の敗北者,Yunono,188,377,EWBR0R4NERBh1SgNElCB3ioPElCg9pcQCYFxCDATE7EBCjMQE7FBCzQQDOFADsYRDDAA,AlDByUIMFpHhiHcOF5Bw6YwOCODh7i4PEiDg8pcPCWFwA70QCzHRijYYE6FgEMURDAAA,Azhdaha\\La Signora\\Thunder Manifestation,Millennial Pearl Seahorse\\Yun Jin\\Zhongli,0,1,1\\1,,,,TRUE,FALSE,AS,8,1,1
Xeiiryuu,ephyra,231,43,AkERxQQNA0FByk4NBZLRWocWCZJhiZgQC0FC9TEQFGICBjQRFFIxCcARDILyPIUUGbEB,F/EBf28JANCxnXgKFzCAo30YBxHQgYUMCCBQwoYYCIFgAYcQCBFwA4gQEjHRii0YF6AA,Diluc\\Kaeya\\Sucrose,All-Devouring Narwhal\\Kaveh\\Mona,0,1,1\\1,,,,TRUE,FALSE,AS,9,1,1
Ryssa,サトゥー,133,274,FEAh1G0YF2ExhkYNF5DB2TMVE5EwWbMYC3ExhzUNE+BR9IQPGEFRioUYDKGQC8kQDbAA,AlDByW4MFJAh6XcOF5Bw7o0OCODh8i4PEiDg9JcPCUFwAr0QCzHQA8EQDFEQEMURDAAA,Guardian of Apep's Oasis\\Millennial Pearl Seahorse\\Xinyan,Millennial Pearl Seahorse\\Yun Jin\\Zhongli,0,1,1\\1,,,,TRUE,FALSE,AS,10,1,1
