player1,player2,playerid1,playerid2,deckcode1,deckcode2,characters1,characters2,score1,score2,week_game,isDrop,isBye,isTie,isIncluded,isMirror,server,matchNum,week,game
えいちゃ,BYE,183,,EUDhyV8TE6Dx42IOFjAg5JwOCUDA9J0PCUDR9jMPFWFwirQYC6FgEbYRCzHQTcQUDNAA,,Emperor of Fire and Iron\\Thoma\\Thunder Manifestation,,1,,1\\1,,TRUE,,,FALSE,AS,1,1,1
sousou,Paroy,151,118,ApGiyl4OFRER0oQOCZEx3pgQFEEC9TEQFGIyBzQRFmJxCcARDILxPMQUDbJBDMURDbEB,FpDB0WsNABCR2n0OCRDA4ZwOCSDQ4p0YFJCB9EgPC2HRW6AZGlEAlsQZDGFAackWDJAA,Cryo Hypostasis\\Faruzan\\Fischl,Barbara\\Furina\\Wriothesley,1,0,1\\1,,,,TRUE,FALSE,AS,2,1,1
Nephilim,Jawad,197,196,E0DxyV8MAZDQ0VkNFhAh42IOCTDA5JwOCUDQ9J0PFUBx9oIPGWHgirQYC6HQC8QQDLAA,ATBQ5AwOA0Bw8acPDBAg88IPDDAw9cgPDFCA9skPDIDA+M0QDQFgANYQDdGwEOMRDgAA,Cyno\\Emperor of Fire and Iron\\Thoma,Fatui Pyro Agent\\Tartaglia\\Yoimiya,1,0,1\\1,,,,TRUE,FALSE,AS,3,1,1
ephyra,aoi-hana,43,198,FRDh0ZgZAUHBOGEPFiAQ8pcPCkBB9DAPFVBx9oIPGJAg+cEQDIFAO8QYDKGQiskQDbAA,ATDAyQMMAMCg8T8PAxDw9FgPCVAQ95MPCYBQ+ZUQCaFwDqsQCuGwD7gQC/GAEcIRDDAA,Abyss Herald: Wicked Torrents\\Keqing\\Xianyun,Kaeya\\Keqing\\Xingqiu,1,0,1\\1,,,,TRUE,FALSE,AS,4,1,1
もちつき,Akicat,187,7,FdDwxB0ME0DwyVkMFpAh42IOCTBw5JwOCUDA9J0PCUDR9lcYGaHhip4QC7FAabYWC5AA,FWDByZgMFZDh0WoNFhEQOpcPCUBx9DMPE1Ax9lcPC2FACrQQC7FgC7YQDNEwDcYRDBAA,Cyno\\Emperor of Fire and Iron\\Thoma,Abyss Herald: Wicked Torrents\\Kuki Shinobu\\Xianyun,1,0,1\\1,,,,TRUE,FALSE,AS,5,1,1
Trion,OwOwOscyy,159,117,AEBByUAMFZDh1kQTFoAQ2oYPCEBg9JcPE2AB9jAQE4ExCDMTFbFwO78YC6HwisQQDLAA,E0DwxB0MFZDxyWIOFjAg45wOCUDA5J0PCUDR9IIPGGAg9rYYC6Fgir0QE7FhCzYWDJAA,Abyss Herald: Wicked Torrents\\Chongyun\\Sayu,Cyno\\Emperor of Fire and Iron\\Thoma,0,1,1\\1,,,,TRUE,FALSE,AS,6,1,1
きりさ,ここそば,199,200,FkHiykENAZFC10UOF2IROYcOCaFh9ZgQFEEC9zERFFIyCVgRFoJxPMAUDLLxi8UZDaEB,AEBByUAMFZDh2kQPFkAQ9IYPCGBg9pcQE4EBCDATE7ExOzMYFaFwir8ZC2HwC8QQDLAA,Abyss Herald: Wicked Torrents\\Chongyun\\Sayu,Abyss Herald: Wicked Torrents\\Chongyun\\Sayu,0,1,1\\1,,,,TRUE,TRUE,AS,7,1,1
時代の敗北者,Ryzac,188,134,FQDhxEAMAEBByUQMFpAQ0YYNCBBg2pcPE0AB9DAPE2ExCDMQFYFwO78TC7HxiqAYGqAA,E0DwxB0MFZDxyWIOFjAg45wOCUDA5J0PCUDR9IIPGGAg9rYYC6Fgir0QE7FhCzYWDJAA,Abyss Herald: Wicked Torrents\\Chongyun\\Sayu,Cyno\\Emperor of Fire and Iron\\Thoma,1,0,1\\1,,,,TRUE,FALSE,AS,8,1,1
ぺとる,Lirycal,120,201,A5AQ0RANFRDg3kwOBCDB4mEPFACB9IIPGEAh9p8PC2Bg/LYPDMEgC8YQDOFgEckRDDAA,FlHRhXMMF6Ahz3wMF/DA1KQNCkFBWjMPEyAx9FcPFUBx9p4PC2HQBL0QE0FRijUYGKAA,Abyss Herald: Wicked Torrents\\Nahida\\Nilou,Consecrated Flying Serpent\\Guardian of Apep's Oasis\\Xinyan,1,0,1\\1,,,,TRUE,FALSE,AS,9,1,1
やまゆう,Ianradtan,202,59,ApFS2mwOAbFR4FIOCvFx4ZgPFAES8zIQFFEy9zQUGrIyPJQRDcJhDccRDdKhEcsSDgEB,AGHANh0MA1AAxYENCDAw2oMPCEDg9I4PCWFwApcQE1ERBTEQE2ExBjMTC7HwO78QE8AA,Kamisato Ayaka\\Wriothesley\\Yoimiya,Cyno\\Tartaglia\\Tighnari,1,0,1\\1,,,,TRUE,FALSE,AS,10,1,1
Nandha,TDNmegane,111,155,AWAw1jkTFYHgOE8aBDDw8ZcPExAB9DAPFUBx9oIPGGEgO7MZDGEQlsEQDLFAC8QRDRAA,FpHCypkOFhHi0msQF0ER9ZgQFFEy9zQQFWKCPEkRFqJxDLURDLJhDcQRDdJhDscSDREB,Abyss Herald: Wicked Torrents\\Bennett\\Electro Hypostasis,Abyss Herald: Wicked Torrents\\Kuki Shinobu\\Xianyun,0,1,1\\1,,,,TRUE,FALSE,AS,11,1,1
Coffinuc,Kaizen,25,69,APCxxJcMGEDByZoMGJDx0Y8NCBBg3YYPCUBx9DAPE2EBO1cTFbFxioIYGKEgC78RCzAA,GfBwxCgMAECwxYYMCVAByUcMCZBw0aQNExEBODATE6Ax8jMQGYHRCJ4TGbHgO78QC7AA,Freminet\\Mona\\Navia,Freminet\\Kaedehara Kazuha\\Mona,1,0,1\\1,,,,TRUE,FALSE,AS,12,1,1
Ryssa,Ark,133,13,FhHC2pkOAZHB3JgQCkFy9TQQFGEy91gRFiJyPJQUGrIxPsQRDbJhDccRDcKREcoSDgEB,JyZW6k4yKWa273UyLLZn/G0zOoeWXr05MKc3yX01O2aXGqg1PodGYeM+Msc2Mec2QNYm,Kuki Shinobu\\Tartaglia\\Xianyun,Bennett\\Electro Hypostasis\\Kaedehara Kazuha,0,1,1\\1,,,,TRUE,FALSE,AS,13,1,1
こじ,Im2Fast,184,2,FhHC0pkUFqHi9WsQF0ER9pgQCmFy91gZFqJxi7URDKJhDMQRDbJhDccRDdKRDsoSDhEB,AEDxyXMME5Dx0XwNFxHBZ5IWGXEgh6QYCnFBWlcTFbFxTIMYGKExioUZGGFQlsQQDLAA,Abyss Herald: Wicked Torrents\\Kuki Shinobu\\Xianyun,Candace\\Guardian of Apep's Oasis\\Thoma,1,0,1\\1,,,,TRUE,FALSE,AS,14,1,1
Nukleer,ersihfrans,178,45,FXDQ6DoOAYDx8WAPFhAA+YMPCJEwA5cQCTFwBr0QE2FRijUYFqFxlmcQDbHQC+cRDjAA,E0DwxB0MFZDxyWIOFjAg45wOCUDA5J0PCUDR9IIPGGAh9p4YC6Fgir0QE7FhCzYUDNAA,Faruzan\\Kujou Sara\\Maguu Kenki,Cyno\\Emperor of Fire and Iron\\Thoma,0,1,1\\1,,,,TRUE,FALSE,AS,15,1,1
